Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
GVA,2021-06-19,45,32,21,22,49,46,7,78,48,80,61,67,69,25
GWB,2021-06-19,37,0,0,0,0,40,0,32,49,64,47,60,34,0
GWGH,2021-06-19,13,0,0,0,0,9,0,36,0,1,23,21,46,0
GWRE,2021-06-19,23,0,0,0,0,37,0,35,38,53,17,12,48,0
GWRS,2021-06-19,14,6,0,18,0,28,0,16,14,71,9,4,29,6
GWW,2021-06-19,71,78,63,85,82,80,80,55,89,96,51,36,80,85
H,2021-06-19,61,78,71,92,24,73,96,67,49,86,27,26,2,68
HA,2021-06-19,34,24,36,24,0,25,0,11,21,67,59,82,9,23
HAE,2021-06-19,22,3,9,0,0,17,5,15,16,32,37,51,16,0
HAFC,2021-06-19,33,0,0,0,0,27,0,32,26,48,56,74,31,0
HAIN,2021-06-19,45,29,6,41,89,36,58,27,14,46,79,99,64,0
HAL,2021-06-19,88,88,79,100,84,95,95,100,89,98,80,89,55,72
HALL,2021-06-19,30,1,7,0,0,41,0,36,32,79,27,11,97,0
HALO,2021-06-19,52,28,0,50,0,88,36,98,90,89,36,47,13,14
HARP,2021-06-19,26,0,0,0,0,54,0,75,44,50,17,25,4,0
HAS,2021-06-19,80,53,98,95,0,94,76,98,99,99,71,66,79,85
HASI,2021-06-19,79,83,96,78,53,65,68,42,56,88,87,91,69,99
HAYN,2021-06-19,45,29,17,35,50,63,93,81,21,54,40,42,33,39
HBAN,2021-06-19,80,70,62,71,72,75,39,76,78,99,91,96,80,85
HBCP,2021-06-19,8,0,0,0,0,13,0,31,1,28,6,8,3,0
HBI,2021-06-19,72,83,72,97,78,66,71,58,56,84,75,80,69,60
HBIO,2021-06-19,8,0,0,0,0,14,0,16,1,34,5,1,25,0
HBMD,2021-06-19,40,4,15,6,0,52,0,76,49,82,38,23,95,23
HBNC,2021-06-19,41,0,0,0,0,37,0,75,37,37,64,95,6,0
HBT,2021-06-19,20,0,0,0,0,18,0,31,5,45,30,39,24,0
HCA,2021-06-19,58,55,52,73,0,67,2,88,45,99,50,58,30,37
HCAT,2021-06-19,25,10,25,2,0,30,0,15,23,84,25,22,52,0
HCC,2021-06-19,29,16,12,23,0,20,0,22,21,56,63,60,80,56
HCCI,2021-06-19,24,14,11,0,37,14,0,28,16,19,43,51,45,0
HCHC,2021-06-19,16,2,0,7,0,12,0,10,5,41,45,40,92,0
HCI,2021-06-19,23,1,7,0,0,28,0,36,16,53,23,9,82,6
HCKT,2021-06-19,36,0,0,0,0,50,66,28,39,59,42,39,78,0
HCSG,2021-06-19,32,0,0,0,0,17,0,28,37,12,74,95,57,0
HD,2021-06-19,73,90,93,91,87,73,45,79,65,91,65,66,55,72
HE,2021-06-19,53,40,41,17,64,43,7,16,44,86,87,95,64,78
HEAR,2021-06-19,16,0,0,0,0,11,0,14,3,36,39,38,69,0
HEES,2021-06-19,31,5,15,0,0,20,0,28,19,38,63,78,53,0
HEI,2021-06-19,28,2,0,8,0,24,0,63,23,32,53,71,24,6
HES,2021-06-19,79,74,95,90,30,86,95,72,71,99,74,82,29,100
HFC,2021-06-19,57,45,58,45,31,59,95,30,38,43,72,85,49,39
HFFG,2021-06-19,15,5,11,0,0,15,0,10,10,41,24,8,91,0
HFWA,2021-06-19,37,0,0,0,0,38,0,32,42,64,52,65,44,0
HHC,2021-06-19,45,27,31,32,13,45,0,32,29,93,62,57,81,56
HI,2021-06-19,30,0,0,0,0,36,26,38,23,58,59,78,35,0
HIBB,2021-06-19,18,4,11,0,0,28,21,26,25,37,15,12,31,0
HIFS,2021-06-19,8,0,0,0,0,10,0,31,9,4,10,9,19,0
HIG,2021-06-19,74,74,99,79,64,66,46,36,72,95,84,88,70,85
HII,2021-06-19,36,16,18,36,0,51,57,10,41,78,30,34,34,0
HIL,2021-06-19,14,0,0,0,0,13,0,10,3,45,33,20,99,0
HIW,2021-06-19,49,50,46,60,24,48,0,42,48,61,51,52,39,59
HL,2021-06-19,44,41,44,45,0,20,0,0,28,56,89,94,92,62
HLI,2021-06-19,21,6,7,18,0,51,0,46,35,76,1,1,4,0
HLIO,2021-06-19,24,9,22,14,0,34,0,70,15,58,30,29,51,6
HLIT,2021-06-19,47,9,0,29,0,42,10,53,42,42,75,88,81,0
HLNE,2021-06-19,14,0,0,0,0,36,2,46,27,44,0,1,0,0
HLX,2021-06-19,41,42,33,38,84,26,5,68,39,24,60,80,22,23
HMHC,2021-06-19,42,16,4,40,0,38,1,79,29,59,66,88,34,6
HMN,2021-06-19,59,18,56,34,0,53,52,36,47,75,78,92,40,68
HMST,2021-06-19,27,0,0,0,0,42,0,75,24,79,17,9,54,0
HMTV,2021-06-19,13,0,0,0,0,26,0,34,18,43,2,3,1,0
HNGR,2021-06-19,39,0,0,0,0,36,0,22,21,86,64,79,54,0
HNI,2021-06-19,48,71,30,95,87,46,11,94,38,60,36,20,94,25
HNRG,2021-06-19,1,0,0,0,0,1,0,0,1,1,2,1,8,0
HOFT,2021-06-19,22,4,0,17,0,29,43,21,5,42,36,44,31,6
HOG,2021-06-19,48,40,58,72,13,39,48,22,17,71,73,93,32,37
HOLX,2021-06-19,76,66,78,70,50,72,39,64,89,100,88,95,75,72
HOMB,2021-06-19,39,3,0,18,0,38,0,31,57,45,54,71,32,0
HOME,2021-06-19,26,0,0,0,0,40,8,28,43,68,24,17,64,0
HON,2021-06-19,74,79,70,77,87,62,57,76,50,71,87,93,100,37
HONE,2021-06-19,23,0,0,0,0,26,0,32,13,64,27,40,4,0
HOOK,2021-06-19,15,0,0,0,0,28,0,46,5,77,7,9,7,0
HOPE,2021-06-19,30,0,0,0,0,35,0,75,17,62,37,39,53,0
HP,2021-06-19,21,6,13,0,0,23,0,66,7,58,35,42,37,0
HPE,2021-06-19,70,58,82,96,38,67,72,14,97,88,84,88,65,96
HPP,2021-06-19,76,70,65,72,77,72,56,42,70,98,85,95,51,87
HPQ,2021-06-19,78,57,77,99,38,84,94,56,94,83,84,92,50,96
HQY,2021-06-19,57,0,0,0,0,65,0,93,25,89,67,72,82,16
HR,2021-06-19,53,38,47,39,0,73,0,95,70,76,51,63,13,52
HRB,2021-06-19,25,1,0,3,0,20,0,12,22,63,58,61,85,0
HRC,2021-06-19,70,35,64,42,0,77,61,84,81,84,77,95,55,24
HRL,2021-06-19,70,56,31,87,26,93,93,95,86,99,45,32,68,69
HROW,2021-06-19,16,0,0,0,0,28,0,46,31,48,8,4,25,0
HRTX,2021-06-19,26,0,0,0,0,52,0,26,47,89,19,8,67,0
HSC,2021-06-19,65,48,53,53,37,68,50,89,63,77,73,91,24,56
HSIC,2021-06-19,47,65,81,63,50,54,43,16,73,96,29,9,93,30
HSII,2021-06-19,50,28,25,51,0,42,20,28,44,76,75,79,67,72
HSKA,2021-06-19,33,0,0,0,0,40,0,46,51,64,39,47,36,6
HST,2021-06-19,88,93,99,91,78,85,47,95,84,88,85,86,78,85
HSTM,2021-06-19,43,0,0,0,0,44,0,35,45,68,55,81,3,0
HSY,2021-06-19,79,89,96,93,26,95,93,95,95,96,40,39,11,91
HT,2021-06-19,75,80,83,92,24,73,68,87,50,88,71,81,31,76
HTA,2021-06-19,44,16,8,27,0,48,0,42,47,61,74,95,53,0
HTBI,2021-06-19,21,0,0,0,0,27,0,31,18,62,21,19,40,0
HTBK,2021-06-19,30,0,0,0,0,7,0,0,6,19,75,98,50,0
HTH,2021-06-19,26,0,0,0,0,33,0,76,10,64,27,29,40,0
HTLD,2021-06-19,30,1,2,0,0,34,0,22,26,80,61,77,48,0
HTLF,2021-06-19,17,0,0,0,0,19,0,32,15,31,20,30,3,0
HUBB,2021-06-19,54,58,27,35,82,43,31,38,49,56,66,83,20,46
HUBG,2021-06-19,43,43,39,41,50,30,0,22,30,59,60,90,0,0
HUBS,2021-06-19,52,0,0,0,0,72,0,94,75,83,50,54,68,0
HUM,2021-06-19,87,83,99,93,0,88,76,88,88,94,88,99,50,85
HUN,2021-06-19,68,69,34,78,94,73,70,68,63,95,56,47,64,91
HURC,2021-06-19,31,0,0,0,0,28,0,38,22,56,72,89,59,6
HURN,2021-06-19,35,18,32,18,0,43,0,28,70,83,38,46,36,0
HUYA,2021-06-19,18,0,0,0,0,32,0,35,27,46,12,17,3,0
HVT,2021-06-19,43,0,0,0,0,47,0,63,40,65,61,90,2,0
HWBK,2021-06-19,36,0,0,0,0,38,0,32,44,64,48,67,20,0
HWC,2021-06-19,49,24,50,22,18,47,0,75,33,85,63,83,11,39
HWKN,2021-06-19,35,29,33,28,27,30,0,40,31,81,55,65,33,39
HWM,2021-06-19,53,53,81,74,10,68,84,42,77,54,33,12,74,80
HXL,2021-06-19,61,43,25,78,33,55,61,81,32,53,83,98,67,32
HY,2021-06-19,50,47,56,51,40,53,20,70,46,82,51,71,18,0
HZN,2021-06-19,26,6,6,20,0,36,48,42,8,41,37,37,61,0
HZO,2021-06-19,33,10,36,0,0,45,41,41,34,61,25,29,32,0
IAC,2021-06-19,10,0,0,0,0,14,0,0,12,31,9,12,9,0
IART,2021-06-19,58,29,42,50,0,68,75,46,76,79,59,72,50,6
IBCP,2021-06-19,39,2,11,0,0,32,0,31,29,62,63,72,78,0
IBIO,2021-06-19,20,0,0,0,0,29,0,46,7,77,21,11,65,0
IBKR,2021-06-19,25,4,0,0,8,40,0,46,19,63,17,18,29,0
IBM,2021-06-19,71,79,97,99,55,98,91,99,99,99,45,27,74,91
IBOC,2021-06-19,43,0,0,0,0,33,0,31,20,83,73,84,83,0
