Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
NAV,2021-06-19,43,35,58,52,16,30,5,9,59,58,71,83,41,59
NAVI,2021-06-19,38,0,0,0,0,24,0,32,7,64,71,82,83,0
NBEV,2021-06-19,19,4,0,0,31,21,0,40,10,43,34,24,93,0
NBHC,2021-06-19,31,0,0,0,0,29,0,31,22,62,48,67,16,0
NBIX,2021-06-19,36,0,0,0,0,44,0,26,75,50,52,77,5,0
NBN,2021-06-19,20,0,0,0,0,25,0,31,27,37,22,13,64,0
NBSE,2021-06-19,26,0,0,0,0,50,0,59,53,51,22,23,32,0
NBTB,2021-06-19,41,1,0,6,0,33,0,31,32,62,67,96,15,0
NC,2021-06-19,13,0,0,0,0,20,0,22,10,40,23,35,1,0
NCBS,2021-06-19,25,0,0,0,0,34,0,31,34,62,24,20,53,0
NCLH,2021-06-19,43,40,65,23,0,46,47,44,32,61,42,42,72,0
NCMI,2021-06-19,32,0,0,0,0,43,0,80,31,43,30,43,7,0
NCR,2021-06-19,62,46,34,43,55,79,66,81,69,89,51,61,50,6
NCSM,2021-06-19,13,11,13,0,34,14,0,22,21,24,12,17,3,0
NDAQ,2021-06-19,72,44,84,95,8,81,82,46,90,92,74,95,6,69
NDLS,2021-06-19,33,8,14,0,23,44,0,65,24,60,40,59,2,0
NDSN,2021-06-19,28,14,34,23,0,38,17,20,30,86,33,38,39,0
NEE,2021-06-19,75,75,80,90,52,75,66,83,82,68,74,91,19,69
NEM,2021-06-19,87,88,95,99,0,79,72,22,95,98,97,99,89,100
NEO,2021-06-19,43,4,0,8,0,34,0,22,38,67,73,84,80,6
NEOG,2021-06-19,29,0,0,0,0,42,0,73,17,64,27,26,48,0
NERV,2021-06-19,14,0,0,0,0,10,0,0,11,22,28,39,7,0
NES,2021-06-19,11,11,13,0,34,10,0,22,6,24,13,1,64,0
NESR,2021-06-19,48,54,67,59,0,45,0,94,73,60,46,44,69,21
NET,2021-06-19,19,0,0,0,0,34,0,35,38,45,11,5,39,0
NEU,2021-06-19,28,5,6,8,0,27,24,15,26,47,72,88,59,16
NEWR,2021-06-19,20,0,0,0,0,41,0,35,30,68,7,8,10,0
NEX,2021-06-19,24,17,13,16,34,29,12,68,40,24,26,20,63,0
NEXT,2021-06-19,3,0,0,0,0,3,0,0,5,7,6,4,17,0
NFBK,2021-06-19,40,0,0,0,0,37,0,31,53,45,59,87,8,0
NFG,2021-06-19,46,38,77,36,0,53,76,85,26,41,45,56,9,49
NFLX,2021-06-19,28,5,0,15,0,28,0,35,59,20,34,36,35,23
NGM,2021-06-19,38,0,0,0,0,46,13,28,75,51,56,59,86,0
NGS,2021-06-19,18,4,4,7,0,15,0,22,11,40,39,24,92,31
NGVC,2021-06-19,35,22,36,5,21,62,0,95,41,86,12,16,4,0
NH,2021-06-19,12,0,0,0,0,22,0,16,46,34,5,4,12,0
NHC,2021-06-19,47,21,32,18,0,37,0,51,24,52,72,83,87,0
NHI,2021-06-19,16,0,0,0,0,27,0,42,11,37,24,14,74,0
NI,2021-06-19,68,62,77,72,36,60,33,65,58,94,88,95,69,85
NINE,2021-06-19,27,6,13,0,0,15,16,21,5,24,68,97,19,0
NJR,2021-06-19,44,43,37,31,63,32,0,53,19,63,63,78,11,69
NKE,2021-06-19,72,77,76,74,80,80,90,78,63,95,54,45,61,87
NKSH,2021-06-19,9,0,0,0,0,8,0,32,6,1,12,2,53,0
NKTR,2021-06-19,24,0,0,0,0,33,0,28,22,51,33,37,40,0
NL,2021-06-19,21,16,29,0,16,19,0,38,16,27,31,33,41,6
NLOK,2021-06-19,73,76,94,94,55,79,84,35,98,99,68,55,100,81
NLS,2021-06-19,29,0,0,0,0,22,0,15,10,59,48,43,97,0
NLY,2021-06-19,37,23,16,36,0,46,0,0,73,61,43,41,78,0
NMIH,2021-06-19,40,0,0,0,0,36,0,36,18,78,57,84,5,0
NMRK,2021-06-19,28,3,8,0,0,41,0,32,27,81,37,47,30,0
NMTR,2021-06-19,16,0,0,0,0,28,0,59,1,22,15,11,38,0
NNBR,2021-06-19,18,0,0,0,0,26,31,38,4,25,29,34,31,0
NNI,2021-06-19,43,0,0,0,0,41,0,32,51,64,63,86,30,0
NNN,2021-06-19,50,38,51,36,0,55,0,42,54,75,59,64,85,0
NOC,2021-06-19,80,85,94,96,68,89,84,81,92,98,63,56,69,85
NODK,2021-06-19,25,0,0,0,0,16,0,36,7,21,44,59,21,0
NOG,2021-06-19,21,0,0,0,0,10,0,0,8,44,71,86,70,0
NOV,2021-06-19,61,76,61,90,85,48,0,91,63,85,61,73,19,61
NOVA,2021-06-19,51,39,57,58,1,61,62,14,64,88,56,51,57,80
NOVN,2021-06-19,85,83,97,96,0,92,81,92,99,97,76,94,7,85
NOVT,2021-06-19,36,9,0,25,0,49,80,42,12,53,56,56,92,0
NOW,2021-06-19,31,0,0,0,0,33,0,35,33,46,38,44,42,0
NP,2021-06-19,49,31,15,49,27,54,91,48,28,47,77,96,37,39
NPK,2021-06-19,29,0,0,0,0,21,28,10,7,34,60,71,62,0
NPO,2021-06-19,66,50,67,25,52,68,93,61,41,67,82,91,84,31
NPTN,2021-06-19,26,3,5,4,0,37,27,32,36,58,37,31,80,0
NR,2021-06-19,43,17,13,16,34,45,36,68,38,60,71,79,91,0
NRBO,2021-06-19,16,0,0,0,0,34,0,28,28,51,9,12,4,0
NRC,2021-06-19,30,0,0,0,0,20,0,28,18,38,63,93,5,0
NRG,2021-06-19,42,34,18,81,0,34,64,16,14,52,67,65,71,69
NRIM,2021-06-19,24,2,11,0,0,18,0,31,30,4,40,49,36,0
NRZ,2021-06-19,11,0,0,0,0,30,0,42,21,37,7,9,3,0
NSC,2021-06-19,66,72,91,72,50,53,0,22,70,96,76,77,73,76
NSIT,2021-06-19,48,6,13,20,0,52,72,14,40,70,77,97,55,14
NSP,2021-06-19,31,25,45,27,0,32,0,28,28,78,32,43,15,0
NSSC,2021-06-19,9,0,0,0,0,2,0,0,7,2,20,6,81,0
NSTG,2021-06-19,25,8,0,27,0,37,0,48,53,50,18,19,28,0
NTAP,2021-06-19,53,44,51,53,39,55,52,63,25,86,57,60,37,72
NTCT,2021-06-19,49,32,38,65,5,70,98,81,34,68,35,49,12,0
NTGR,2021-06-19,57,30,26,12,43,67,24,90,57,64,62,71,71,0
NTLA,2021-06-19,18,0,0,0,0,30,0,28,10,51,20,25,15,0
NTNX,2021-06-19,21,0,0,0,0,43,0,35,42,68,7,10,3,0
NTRA,2021-06-19,16,0,0,0,0,19,0,16,9,50,19,19,32,0
NTRS,2021-06-19,59,49,67,84,28,79,76,46,76,99,44,26,77,85
NTST,2021-06-19,25,0,0,0,0,40,0,42,40,46,40,49,37,0
NTUS,2021-06-19,54,5,0,18,0,53,32,74,15,79,77,86,99,0
NUAN,2021-06-19,71,38,55,78,0,64,41,35,79,89,86,95,96,24
NUE,2021-06-19,49,44,44,53,0,50,42,65,37,77,54,61,37,45
NUS,2021-06-19,38,19,28,19,5,40,7,56,17,90,55,70,26,23
NUVA,2021-06-19,22,0,0,0,0,32,0,16,54,65,20,8,74,0
NVAX,2021-06-19,25,0,0,0,0,49,13,28,90,51,20,20,33,0
NVDA,2021-06-19,76,70,94,94,32,83,76,71,97,92,72,72,62,87
NVEC,2021-06-19,15,5,13,2,0,10,0,32,1,18,35,34,65,0
NVEE,2021-06-19,29,28,28,2,44,20,0,10,17,57,42,35,94,0
NVR,2021-06-19,27,0,0,0,0,23,0,17,43,44,68,77,83,0
NVRO,2021-06-19,22,0,0,0,0,25,0,46,14,32,28,28,46,0
NVTA,2021-06-19,31,0,0,0,0,43,0,28,69,51,39,56,8,0
NWBI,2021-06-19,30,0,0,0,0,27,0,31,28,45,45,65,9,0
NWE,2021-06-19,38,25,36,10,29,31,0,64,19,55,69,99,10,6
NWFL,2021-06-19,19,0,0,0,0,17,0,31,21,12,29,29,48,0
NWL,2021-06-19,69,49,62,75,29,79,80,72,68,97,79,88,79,39
NWLI,2021-06-19,14,0,0,0,0,15,0,36,8,16,17,2,78,0
NWN,2021-06-19,51,32,39,34,24,64,56,65,53,88,59,52,85,52
NWPX,2021-06-19,15,5,0,0,50,19,0,65,16,37,23,14,67,0
NWSA,2021-06-19,50,56,71,41,50,32,0,34,21,67,70,98,24,0
NX,2021-06-19,60,67,23,72,92,69,83,55,32,100,36,21,75,54
NXGN,2021-06-19,28,0,0,0,0,32,0,35,26,45,33,32,59,0
NXRT,2021-06-19,13,0,0,0,0,30,0,42,21,37,12,15,11,0
NXST,2021-06-19,36,0,0,0,0,18,0,0,38,34,71,98,27,0
NXTC,2021-06-19,25,0,0,0,0,19,0,32,21,33,50,73,7,0
NYCB,2021-06-19,32,6,0,0,9,33,0,76,10,64,42,63,1,0
NYMT,2021-06-19,30,0,0,0,0,35,0,42,35,37,59,63,86,0
NYT,2021-06-19,43,26,29,48,0,44,0,34,69,67,48,58,46,0
O,2021-06-19,63,58,70,49,53,54,0,42,68,61,76,92,47,37
OAS,2021-06-19,23,14,16,23,0,21,0,30,28,44,40,54,20,0
OBNK,2021-06-19,39,0,0,0,0,42,0,31,55,62,50,56,65,0
OC,2021-06-19,93,97,98,99,94,93,86,94,99,100,86,95,47,100
OCFC,2021-06-19,31,2,9,0,0,32,0,32,28,64,41,60,6,0
OCN,2021-06-19,38,12,0,0,18,42,0,96,26,62,42,53,33,0
OCUL,2021-06-19,13,0,0,0,0,22,0,47,5,48,9,3,36,0
OCX,2021-06-19,16,0,0,0,0,33,0,28,21,51,11,2,49,0
ODC,2021-06-19,10,0,0,0,0,16,0,31,3,31,6,7,7,0
ODFL,2021-06-19,31,24,37,35,0,40,27,22,29,80,28,37,16,0
ODP,2021-06-19,64,52,52,54,49,51,45,65,20,68,86,93,95,37
ODT,2021-06-19,17,0,0,0,0,21,0,15,28,48,24,7,98,0
OESX,2021-06-19,14,9,4,4,16,14,0,17,6,41,19,4,57,33
OFC,2021-06-19,63,65,85,57,24,54,8,42,64,61,70,90,3,69
OFED,2021-06-19,15,0,0,0,0,18,0,31,29,7,17,19,26,0
OFLX,2021-06-19,18,2,8,0,0,8,0,9,3,20,49,61,41,0
OGE,2021-06-19,29,9,13,11,2,17,0,16,8,46,77,97,55,6
OHI,2021-06-19,26,2,0,5,0,36,53,42,26,37,43,64,5,0
OI,2021-06-19,39,27,38,12,38,44,40,50,20,73,46,60,30,0
OII,2021-06-19,44,33,30,49,0,45,0,68,83,60,54,57,53,37
OIS,2021-06-19,43,30,36,33,0,42,30,22,49,60,60,70,31,52
OKE,2021-06-19,58,72,93,73,0,53,12,22,85,94,49,36,67,85
OKTA,2021-06-19,28,15,29,25,0,55,0,35,51,94,9,13,3,0
OLED,2021-06-19,66,59,64,86,33,66,80,32,70,67,76,84,79,37
OLLI,2021-06-19,24,0,0,0,0,34,0,17,33,63,34,26,83,0
OLN,2021-06-19,39,29,22,39,26,45,56,16,34,64,48,48,63,23
OLP,2021-06-19,25,0,0,0,0,26,0,42,8,37,53,63,55,0
OMC,2021-06-19,67,52,82,66,0,57,46,34,63,89,83,89,79,64
OMCL,2021-06-19,28,45,52,30,50,30,0,16,45,65,18,14,26,23
OMER,2021-06-19,26,0,0,0,0,32,0,28,16,51,38,39,59,0
OMI,2021-06-19,43,36,15,44,50,36,0,46,30,64,56,67,54,6
ON,2021-06-19,73,64,84,83,33,83,80,88,76,92,65,74,35,69
ONB,2021-06-19,57,30,41,25,29,63,0,75,68,98,58,65,39,54
ONEM,2021-06-19,22,6,0,14,0,33,0,22,30,69,17,23,7,0
ONTO,2021-06-19,25,35,0,18,76,21,15,7,26,42,19,1,92,0
OPBK,2021-06-19,39,0,0,0,0,25,0,32,33,29,73,100,31,0
OPCH,2021-06-19,44,0,0,0,0,37,41,22,19,67,74,95,53,0
OPI,2021-06-19,53,55,66,52,24,56,0,42,44,88,48,65,23,0
OPK,2021-06-19,18,0,0,0,0,20,0,14,8,68,27,24,55,0
OPRT,2021-06-19,30,2,9,0,0,36,0,32,38,64,34,42,24,6
OPRX,2021-06-19,29,0,0,0,0,48,0,35,64,70,21,1,100,0
OPTN,2021-06-19,23,3,8,0,0,34,0,78,29,48,22,28,15,0
OPY,2021-06-19,44,2,11,0,0,47,0,46,22,76,54,67,45,0
ORA,2021-06-19,54,40,55,20,42,51,61,76,29,61,81,90,57,69
ORBC,2021-06-19,17,0,0,0,0,17,11,17,6,42,30,28,56,0
ORC,2021-06-19,23,17,34,5,0,29,0,42,18,37,24,16,67,0
ORCL,2021-06-19,50,77,91,98,55,76,98,35,80,97,18,10,32,39
ORGO,2021-06-19,22,0,0,0,0,23,0,15,34,48,37,41,47,0
ORGS,2021-06-19,23,0,0,0,0,47,0,77,10,51,18,5,70,0
ORI,2021-06-19,27,4,0,20,0,20,0,36,12,30,43,63,7,0
ORLY,2021-06-19,47,13,30,4,0,37,11,28,56,45,75,94,53,14
ORRF,2021-06-19,33,2,9,0,0,40,0,32,64,38,37,40,49,0
OSBC,2021-06-19,40,0,0,0,0,51,0,75,52,75,39,49,34,0
OSG,2021-06-19,39,22,33,16,0,44,5,99,62,60,53,49,96,6
OSH,2021-06-19,18,7,18,0,0,28,0,22,58,27,13,9,30,6
OSIS,2021-06-19,38,12,0,32,0,53,94,11,25,53,54,52,97,0
OSK,2021-06-19,72,74,82,87,66,74,64,87,54,91,65,55,87,85
OSMT,2021-06-19,14,0,0,0,0,28,0,46,29,48,4,5,5,0
OSPN,2021-06-19,28,0,0,0,0,38,0,35,60,46,27,32,27,0
OSTK,2021-06-19,53,0,0,0,0,49,0,35,74,68,73,97,42,0
OSUR,2021-06-19,26,2,0,9,0,42,20,46,36,64,15,15,24,0
OTIC,2021-06-19,18,0,0,0,0,36,0,28,37,51,14,20,4,0
OTRK,2021-06-19,24,0,0,0,0,20,0,22,26,26,40,33,91,0
OTTR,2021-06-19,39,34,48,40,9,22,0,48,8,46,68,81,20,80
OVBC,2021-06-19,13,0,0,0,0,11,0,32,10,5,23,5,87,16
OVID,2021-06-19,5,0,0,0,0,8,0,0,3,20,5,3,15,0
OVLY,2021-06-19,19,0,0,0,0,26,0,32,13,64,17,4,74,0
OXM,2021-06-19,38,10,3,25,0,31,12,16,43,62,69,88,35,24
OXY,2021-06-19,77,64,71,85,30,86,95,98,70,83,78,76,80,85
OYST,2021-06-19,17,0,0,0,0,43,0,26,73,50,4,2,16,0
OZK,2021-06-19,45,14,3,6,18,46,0,66,48,64,56,69,41,12
PACB,2021-06-19,34,0,0,0,0,29,24,16,48,34,57,62,77,0
PACW,2021-06-19,38,2,9,0,0,36,0,76,17,64,56,65,64,0
PAE,2021-06-19,12,3,0,12,0,22,1,10,27,54,5,1,20,6
PAG,2021-06-19,49,39,36,35,49,37,1,26,42,65,68,84,44,24
PAGP,2021-06-19,25,31,61,7,0,23,0,22,38,40,20,6,33,69
PAHC,2021-06-19,32,26,18,41,0,53,36,69,48,68,3,2,1,16
PANL,2021-06-19,4,0,0,0,0,0,0,0,0,1,13,15,15,0
PANW,2021-06-19,43,21,0,62,0,58,94,35,46,68,36,47,20,6
PAR,2021-06-19,14,1,0,4,0,17,25,7,4,29,24,13,76,0
PARR,2021-06-19,15,2,6,0,0,14,0,30,16,24,37,37,59,6
PATK,2021-06-19,17,8,4,23,0,18,0,17,26,41,28,23,59,6
PAVM,2021-06-19,19,0,0,0,0,26,0,48,17,34,17,19,25,0
PAYS,2021-06-19,18,0,0,0,0,18,0,28,10,38,31,24,73,0
PAYX,2021-06-19,46,49,78,60,0,55,25,28,88,83,32,14,79,49
PB,2021-06-19,36,5,27,6,0,51,14,31,58,83,29,29,32,24
PBCT,2021-06-19,41,6,22,0,3,38,0,32,47,57,60,77,26,23
PBF,2021-06-19,36,13,24,15,0,36,34,30,36,43,69,79,60,32
PBFS,2021-06-19,18,0,0,0,0,12,0,31,14,4,34,47,11,0
PBH,2021-06-19,21,0,0,0,0,19,0,14,22,48,39,54,17,0
PBI,2021-06-19,55,25,19,25,27,64,96,50,25,57,73,76,76,56
PBIP,2021-06-19,19,0,0,0,0,29,0,31,44,28,13,13,22,0
PBPB,2021-06-19,39,26,4,51,0,45,30,43,45,60,41,55,21,0
PBYI,2021-06-19,29,0,0,0,0,42,0,28,63,51,37,38,56,0
PCAR,2021-06-19,64,78,83,58,85,53,45,38,26,97,63,78,39,23
PCB,2021-06-19,46,14,9,0,18,43,0,76,36,64,63,74,70,0
PCG,2021-06-19,74,84,100,91,57,90,83,90,97,86,36,12,75,98
PCH,2021-06-19,37,31,59,11,0,55,0,42,69,61,28,27,48,0
PCRX,2021-06-19,35,10,0,22,0,30,0,47,38,48,61,64,91,0
PCSB,2021-06-19,21,0,0,0,0,29,0,31,22,62,17,19,23,0
PCT,2021-06-19,32,10,29,0,0,59,76,50,33,73,17,21,10,4
PCTI,2021-06-19,21,0,0,0,0,19,0,0,28,42,36,39,50,0
PCTY,2021-06-19,28,0,0,0,0,55,0,35,63,89,13,11,29,0
PCYG,2021-06-19,16,0,0,0,0,12,0,35,2,4,24,28,28,0
PCYO,2021-06-19,19,7,9,12,0,32,55,41,29,20,23,12,55,31
PDCE,2021-06-19,23,13,17,21,0,11,0,0,11,44,58,82,16,0
PDCO,2021-06-19,48,9,0,33,0,39,46,15,59,48,76,92,44,46
PDFS,2021-06-19,28,11,5,30,0,22,12,32,11,42,60,63,92,0
PDLB,2021-06-19,25,0,0,0,0,28,0,32,29,48,30,36,30,0
PDM,2021-06-19,70,82,81,83,78,62,92,42,71,61,65,81,25,47
PDSB,2021-06-19,24,0,0,0,0,30,0,0,53,51,33,40,33,0
PEAK,2021-06-19,89,89,93,87,78,89,92,89,81,95,91,93,88,85
PEB,2021-06-19,73,66,72,71,24,70,68,42,67,92,83,95,54,69
PEBK,2021-06-19,30,0,0,0,0,25,0,31,22,45,48,58,50,0
PEBO,2021-06-19,23,2,11,0,0,26,0,31,28,41,28,40,5,0
PEG,2021-06-19,69,79,96,85,53,67,55,54,78,76,55,51,61,69
PEGA,2021-06-19,41,11,23,17,0,41,0,35,22,70,51,67,31,0
PEI,2021-06-19,33,12,23,5,0,43,0,42,37,59,48,56,47,6
PENN,2021-06-19,23,0,0,0,0,30,0,51,6,37,33,22,90,0
PEO,2021-06-19,8,0,0,0,0,11,0,28,22,1,9,8,18,0
PEP,2021-06-19,87,82,80,83,82,89,86,76,98,99,92,97,72,100
PETQ,2021-06-19,19,0,0,0,0,21,0,15,11,69,28,18,77,0
PETS,2021-06-19,40,2,0,6,0,33,0,39,29,61,81,100,72,0
PFBC,2021-06-19,19,0,0,0,0,20,0,32,6,48,26,20,64,0
PFBI,2021-06-19,31,0,0,0,0,24,0,31,21,45,52,51,91,0
PFC,2021-06-19,63,54,75,50,0,70,66,68,59,91,62,63,47,83
PFD,2021-06-19,63,60,58,74,0,69,49,95,70,58,56,50,77,54
PFE,2021-06-19,66,76,86,87,9,85,88,77,80,95,29,15,36,91
PFG,2021-06-19,42,20,73,44,0,54,41,76,69,25,33,22,32,87
PFGC,2021-06-19,28,13,20,11,0,18,0,8,25,45,56,65,46,24
PFHD,2021-06-19,23,0,0,0,0,17,0,32,1,48,41,48,45,0
PFIS,2021-06-19,38,0,0,0,0,27,0,31,16,62,70,82,75,0
PFPT,2021-06-19,28,5,24,0,0,35,0,35,40,46,30,27,59,0
PFS,2021-06-19,37,0,0,0,0,36,0,32,39,64,52,66,39,0
PFSI,2021-06-19,51,11,48,18,0,67,19,75,76,83,46,37,60,72
PFSW,2021-06-19,42,0,0,0,0,38,0,35,6,70,59,60,92,0
PG,2021-06-19,74,90,80,93,99,77,88,73,78,63,53,40,73,87
PGC,2021-06-19,43,0,0,0,0,38,0,31,35,77,68,87,53,0
PGEN,2021-06-19,29,0,0,0,0,26,0,28,45,18,51,49,91,0
PGNY,2021-06-19,32,0,0,0,0,30,0,22,31,56,49,56,61,0
PGR,2021-06-19,50,9,42,5,0,57,0,36,82,79,55,60,71,6
PGRE,2021-06-19,55,40,30,54,24,60,80,42,51,77,69,63,82,76
PGTI,2021-06-19,27,25,41,24,16,31,4,17,54,62,22,18,37,23
PH,2021-06-19,62,68,47,47,87,62,83,38,41,77,55,49,71,63
PHAS,2021-06-19,22,0,0,0,0,41,0,77,36,20,20,23,26,0
PHAT,2021-06-19,26,0,0,0,0,61,0,75,76,50,11,9,28,0
PHM,2021-06-19,38,23,27,29,16,29,4,17,45,62,74,92,58,6
PHR,2021-06-19,22,0,0,0,0,36,0,35,49,45,18,14,42,0
PHX,2021-06-19,17,2,6,0,0,15,0,30,7,44,44,42,81,0
PI,2021-06-19,13,0,0,0,0,16,0,7,13,58,24,27,32,0
PII,2021-06-19,82,74,95,92,50,88,93,86,90,89,76,72,89,76
PINC,2021-06-19,27,50,50,64,0,30,0,22,16,69,13,16,11,0
PINE,2021-06-19,20,0,0,0,0,9,0,0,3,22,53,59,70,0
PING,2021-06-19,34,11,12,26,0,39,0,35,9,70,38,55,4,0
PIPR,2021-06-19,33,0,0,0,0,40,0,46,3,76,37,43,42,0
PJT,2021-06-19,41,4,0,18,0,52,0,46,40,76,42,59,12,0
PK,2021-06-19,67,60,69,67,0,62,53,42,46,93,79,80,82,69
PKBK,2021-06-19,13,0,0,0,0,15,0,31,8,26,15,17,19,0
PKE,2021-06-19,26,4,10,0,0,18,0,42,15,32,52,49,85,16
PKG,2021-06-19,70,85,80,85,94,52,40,80,46,54,79,76,79,92
PKI,2021-06-19,57,61,72,61,50,74,56,74,84,86,31,18,71,37
PKOH,2021-06-19,10,3,0,13,0,14,2,8,7,39,15,21,4,0
PLAB,2021-06-19,17,1,0,4,0,19,0,52,2,41,31,43,14,0
PLAN,2021-06-19,35,0,0,0,0,20,0,34,15,21,58,80,26,0
PLAY,2021-06-19,50,37,30,49,0,50,22,65,35,60,61,78,44,0
PLBC,2021-06-19,22,0,0,0,0,23,0,31,18,45,28,27,51,0
PLCE,2021-06-19,53,22,17,46,0,46,45,26,48,65,76,86,94,0
PLD,2021-06-19,81,84,94,76,78,85,47,95,74,97,73,66,85,85
PLMR,2021-06-19,18,10,33,19,0,28,0,36,15,52,8,10,9,0
PLNT,2021-06-19,37,39,36,47,0,33,0,17,61,60,43,51,12,54
PLOW,2021-06-19,24,4,8,8,0,38,58,0,30,56,29,38,19,0
PLPC,2021-06-19,22,21,0,0,40,26,12,9,27,58,17,5,71,0
PLSE,2021-06-19,25,0,0,0,0,15,0,0,34,34,49,45,92,0
PLUG,2021-06-19,28,17,0,0,51,30,0,16,13,55,39,47,39,0
PLUS,2021-06-19,36,5,0,14,0,32,25,35,25,35,49,61,43,0
PLXS,2021-06-19,39,30,45,53,0,47,24,67,56,56,39,42,32,38
PLYM,2021-06-19,23,0,0,0,0,26,0,42,8,37,47,47,78,0
PM,2021-06-19,90,96,99,99,67,87,93,68,99,92,87,91,84,69
PMBC,2021-06-19,30,7,20,21,0,36,0,32,44,55,31,22,84,0
PML,2021-06-19,7,0,0,0,0,6,0,0,1,30,20,24,21,0
PMO,2021-06-19,57,50,95,52,0,56,75,0,76,32,67,65,55,97
PMT,2021-06-19,22,3,8,0,0,29,0,42,18,37,36,50,12,0
PNC,2021-06-19,69,55,48,80,51,77,41,76,81,100,65,71,53,52
PNFP,2021-06-19,53,9,25,30,0,71,0,92,78,99,45,36,81,37
PNM,2021-06-19,48,38,50,44,15,37,0,16,31,91,80,81,98,49
PNRG,2021-06-19,5,0,0,0,0,1,0,0,2,1,21,9,74,0
PNTG,2021-06-19,11,0,0,0,0,15,0,22,14,16,12,11,24,0
PNW,2021-06-19,63,74,94,99,19,61,34,64,50,96,46,38,53,76
PODD,2021-06-19,71,52,53,54,50,66,16,84,80,84,87,97,63,72
POLY,2021-06-19,56,53,54,69,42,75,72,77,63,81,39,26,76,48
POOL,2021-06-19,47,14,45,8,0,30,9,15,54,59,81,97,85,0
POR,2021-06-19,46,35,54,28,17,31,0,16,33,62,85,95,76,52
POST,2021-06-19,35,30,23,37,25,39,33,28,42,58,35,26,50,54
POWI,2021-06-19,57,66,37,59,95,39,42,32,27,58,74,91,51,24
POWL,2021-06-19,14,0,0,0,0,13,0,8,5,39,30,28,58,0
PPBI,2021-06-19,51,11,22,43,0,55,5,75,54,81,61,67,57,39
PPC,2021-06-19,47,48,35,66,26,65,51,75,51,87,16,2,28,69
PPD,2021-06-19,49,40,35,50,0,80,72,75,88,80,27,30,36,0
PPG,2021-06-19,74,81,78,70,94,67,80,37,49,91,72,70,81,69
PPL,2021-06-19,55,40,47,69,0,69,84,72,47,76,62,53,82,82
PQG,2021-06-19,30,25,18,30,26,35,36,41,16,48,29,32,30,16
PRA,2021-06-19,50,9,43,5,0,51,72,36,50,52,63,89,17,0
PRAA,2021-06-19,28,0,0,0,0,39,30,32,31,64,23,28,25,0
PRAH,2021-06-19,56,62,99,50,0,83,71,77,98,80,28,11,58,69
PRDO,2021-06-19,43,5,0,10,0,40,0,43,29,55,78,90,93,0
PRFT,2021-06-19,47,15,15,35,0,44,0,35,47,68,60,74,55,0
PRG,2021-06-19,43,7,0,20,0,40,22,30,29,68,64,83,44,0
PRGO,2021-06-19,32,17,0,37,0,39,71,15,11,48,32,26,74,0
PRGS,2021-06-19,55,13,0,40,0,51,67,35,21,70,72,92,51,0
PRI,2021-06-19,55,17,43,17,9,57,0,83,48,82,64,67,81,23
PRIM,2021-06-19,27,27,12,0,60,30,0,10,24,89,23,22,6,52
PRK,2021-06-19,36,0,0,0,0,31,0,32,26,64,57,59,91,0
PRLB,2021-06-19,30,5,11,9,0,31,38,38,9,35,60,62,93,0
PRO,2021-06-19,45,0,0,0,0,38,0,35,58,46,64,92,13,0
PROS,2021-06-19,19,0,0,0,0,22,0,36,28,17,22,24,32,0
PROV,2021-06-19,9,0,0,0,0,8,0,31,3,7,14,18,10,0
PRPL,2021-06-19,23,14,0,0,29,25,0,21,24,65,34,22,91,6
PRTA,2021-06-19,33,0,0,0,0,39,0,26,53,50,50,68,21,0
PRTH,2021-06-19,25,0,0,0,0,23,0,0,21,47,31,20,87,0
PRTK,2021-06-19,23,0,0,0,0,24,0,14,23,68,39,57,5,0
PRTS,2021-06-19,19,4,10,0,0,22,0,28,1,45,25,32,16,0
PRTY,2021-06-19,50,24,0,73,0,43,45,28,29,68,71,94,41,0
PRU,2021-06-19,64,80,89,80,77,73,12,83,77,99,48,35,66,85
PRVB,2021-06-19,24,0,0,0,0,50,0,75,87,14,17,15,36,0
PSA,2021-06-19,40,32,16,54,0,52,0,42,42,77,39,37,69,6
PSB,2021-06-19,35,11,8,11,24,24,0,42,27,13,75,93,61,6
PSEC,2021-06-19,18,0,0,0,0,30,0,50,33,25,13,1,62,0
PSMT,2021-06-19,22,2,0,0,21,33,0,17,28,63,28,33,30,0
PSNL,2021-06-19,22,0,0,0,0,11,0,0,24,17,47,66,15,0
PSX,2021-06-19,71,67,69,56,80,74,75,91,58,85,73,78,52,78
PTC,2021-06-19,41,0,0,0,0,32,0,35,47,35,61,84,24,0
PTCT,2021-06-19,32,0,0,0,0,28,0,0,43,51,57,80,21,0
PTE,2021-06-19,24,0,0,0,0,58,0,77,58,51,8,2,35,0
PTEN,2021-06-19,42,42,55,42,0,23,5,22,47,24,68,85,29,43
PTGX,2021-06-19,27,0,0,0,0,48,0,75,16,50,27,38,11,0
PTON,2021-06-19,15,4,14,0,0,19,0,15,36,32,15,15,21,6
PTRS,2021-06-19,15,0,0,0,0,11,0,31,13,1,27,18,79,0
PTSI,2021-06-19,11,3,8,0,0,20,0,22,25,28,10,10,18,0
PUMP,2021-06-19,9,6,13,0,0,10,0,21,8,24,11,9,25,0
