Facility Gov ID,GHG Year,co2,ch4,n2o
1000423,2010,16522.1,7.75,9.238
1006711,2010,487441.2,nan,nan
1003007,2010,95664.0,45.0,13582.84
1006943,2010,572713.0,nan,nan
1003160,2010,57808.0,18.5,21.754
1006402,2010,2395031.5,241.25,302.47
1007116,2010,2671.8,1.25,1.49
1005573,2010,28069.0,4.5,5.364
1004586,2010,362429.0,nan,nan
1005852,2010,76077.1,nan,nan
1010624,2010,36786.9,45.25,100.426
1006235,2010,33183.0,77.0,129.928
1005138,2010,nan,103200.0,nan
1007208,2010,797280.0,763.5,1323.12
1010937,2010,31566.0,32.0,77.48
1003570,2010,103535.0,50.0,298.0
1009825,2010,39257.6,55.0,131.12
1000970,2010,643603.5,173.0,3297.072
1003411,2010,nan,37839.84145,nan
1000955,2010,118871.0,55.25,65.858
1000221,2010,4938.0,2.975,5.066
1005044,2010,56755.2,26.75,31.886
1006409,2010,183688.4,86.25,105.194
1001217,2010,22686.4,10.5,12.516
1007659,2010,45365.8,21.0,25.032
1007360,2010,282125.3,131.0,156.152
1007454,2010,55389.2,25.75,30.694
1000916,2010,4525817.0,1197.0,22750.512
1000691,2010,3427476.8,900.75,17160.926
1008032,2010,25383.1,12.25,14.9
1006841,2010,74885.9,35.25,42.018
1000890,2010,90889.0,41.25,49.17
1000988,2010,357369.2,95.75,1779.656
1007315,2010,26880.7,12.5,14.9
1003689,2010,43250.8,20.5,24.436
1005826,2010,24582.1,11.5,13.708
1000039,2010,170.0,nan,nan
1001625,2010,66807.0,31.5,38.74
1007072,2010,nan,30362.25,nan
1007699,2010,1689.41609,210114.914375,167.052244
1001229,2010,168247.3,622.5,1062.072
1003379,2010,109540.5,52.5,62.58
1001786,2010,41128.3,19.5,23.244
1004465,2010,nan,51675.5,nan
1006878,2010,281991.9,669.5,1160.71
1007915,2010,55519.7,30.0,44.7
1001859,2010,118547.0,56.0,68.54
1001861,2010,87829.3,41.25,49.17
1005802,2010,444795.6,1447.5,2454.626
1000865,2010,628169.3,288.5,343.892
1001134,2010,22495.7,10.5,12.516
1002181,2010,95606.9,33.25,39.634
1004943,2010,106461.0,34.75,41.422
1005074,2010,98824.4,33.0,39.336
1004941,2010,73905.1,24.25,28.906
1004942,2010,83770.2,25.75,30.694
1002178,2010,43697.8,14.5,17.284
1007246,2010,1480025.4,1048.75,2042.194
1001116,2010,1944.8,1.0,1.192
1002813,2010,nan,109731.75,nan
1001097,2010,58129.8,28.5,37.548
1002037,2010,295476.1,720.0,1236.7
1011466,2010,nan,41584.25,nan
1002236,2010,nan,84739.5,nan
1006508,2010,3593.5,15.0,2.086
1001055,2010,7036069.6,19740.75,34230.068
1005949,2010,2281235.8,35.25,42.316
1000068,2010,687860.2,319.0,380.248
1001762,2010,152283.5,1074.75,1750.452
1005566,2010,186574.2,88.25,104.002
1004686,2010,35598.6,16.75,19.966
1001460,2010,868654.3,228.0,4319.808
1001360,2010,89035.2,41.25,49.17
1007177,2010,3741731.1,182.5,544.148
1006951,2010,24976.0,11.75,14.006
1000588,2010,2129070.2,220.5,451.47
1005021,2010,48210.0,10.25,12.218
1003669,2010,327003.6,6.0,7.152
1000260,2010,212450.8,105.5,134.398
1005661,2010,4431508.0,12779.25,22092.826
1000466,2010,759960.0,648.0,958.666
1005286,2010,66699.0,31.5,38.74
1000026,2010,98343.9,35.0,48.574
1000020,2010,62746.2,23.5,28.012
1000006,2010,42780.8,17.5,20.86
1002504,2010,53746.1,18.5,22.052
1006060,2010,95242.9,30.75,36.654
1000023,2010,114049.8,36.75,43.806
1000105,2010,86206.0,28.25,33.674
1005977,2010,84449.9,28.25,35.164
1000028,2010,84881.5,26.75,31.886
1000005,2010,74134.4,28.5,33.972
