Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
ARCH,901585132.00,,,-21.424,3.2257364,0.6536039,,,
ARDX,706757786.00,,-0.16,-1.147,5.516981,55.762306,,,
ARE,28087576101.00,32.10875,774,5.738,2.0657952,13.950609,,,
AREC,148494129.00,,,-0.391,,308.14554,,,
ARI,2312283512.00,12.967543,154.86,1.294,1.0312194,7.1007323,,,
ARL,197054925.00,8.038692,,1.499,0.7691326,3.1937711,,,
ARLO,559987354.00,,1.73,-0.923,4.2282476,1.540771,,,
ARLP,915805577.00,22.388535,-1.13,0.314,0.8214537,0.6899608,,,
ARNA,3780159336.00,,0.41,-7.4,3.662294,69864.52,,,
ARPO,99006397.00,,,-0.109,2.487864,6.474105,,,
ARQT,1394194127.00,,-0.72,-10.269,,,,,
ARR,866327356.00,2.962963,-4.65,3.888,0.78223675,2.8143463,,,
ARRY,1987463409.00,,22.89,-0.095,,2.993575,,,
ARVN,3849974465.00,,,-3.295,6.3828096,186.88432,,,
ARWR,8515183706.00,,-10.73,-1.067,20.712118,103.60375,,,
ARYA,214121340.00,,,-0.078,40.19157,,,,
ASG,370142134.00,3.4174414,,2.517,1.0779072,271.05917,,,
ASMB,174286575.00,,-0.11,-1.714,0.6666667,2.1999655,,,
ASO,3613766342.00,,0.16,,,0.5665709,,,
ASPN,625690503.00,,,-0.919,10.289239,6.8613,,,
ASRT,84287469.00,,0.05,-2.128,0.7281353,0.6724142,,,
ASTC,62849115.00,,,-0.639,1.068636,124.732834,,,
ASTE,1512744257.00,29.32683,3.12,2.05,2.1158583,1.3271178,,,
ASTS,1927845456.00,,,,,95.62235,,,
ASUR,165404348.00,,3.64,-1.03,1.0627768,2.3698218,,,
ASXC,681004789.00,,,,,265.45715,,,
ASYS,139038657.00,,5.21,-0.93,1.6632723,2.2086313,,,
ATAX,393883694.00,95.428566,,0.07,1.1297141,15.577369,,,
ATCX,334842932.00,,,,,0.6657646,,,
ATEC,1400587038.00,,-1.94,-1.179,9.405815,9.966193,,,
ATER,585843997.00,,,,,2.556001,,,
ATEX,885648888.00,,,-3.191,4.0099487,823.7753,,,
ATGE,1875161584.00,,3.69,-3.624,1.4340613,1.70628,,,
ATHA,744453320.00,,,,,,,,
ATHX,370884467.00,,-0.02,-0.42,9.935484,236.15685,,,
ATI,3131739633.00,,18.34,-12.658,6.0748153,1.0787765,,,
ATKR,3651619563.00,12.470033,0.37,5.923,6.086025,1.7239727,,,
ATLC,651799258.00,10.364372,,3.952,7.7678742,2.6150079,,,
ATLO,229528315.00,10.793992,,2.33,1.1227678,3.6781466,,,
ATNF,248880000.00,,,,,,,,
ATNI,778547756.00,,8.81,-0.66,1.1428148,1.567406,,,
ATNM,170242746.00,,,-1.831,2.3620248,255.57661,,,
ATNX,476914770.00,,0.14,-1.718,2.4883118,3.1015255,,,
ATO,13217467136.00,19.539537,2.79,5.147,1.7867676,4.5066113,,,
ATOM,643437179.00,,,-0.74,15.346534,1427.674,,,
